:budget,:company,:country,:director,:genre,:gross,:name,:rating,:released,:runtime,:score,:star,:votes,:writer,:year
16000000.0,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000.0,Highlander,R,1986-03-07,116,7.2,Christopher Lambert,104860,Gregory Widen,1986
6000000.0,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000.0,Lucas,PG-13,1986-03-28,100,6.8,Corey Haim,12228,David Seltzer,1986
25000000.0,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000.0,Big Trouble in Little China,PG-13,1986-07-02,99,7.3,Kurt Russell,101678,Gary Goldman,1986
15000000.0,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929.0,Manhunter,R,1986-08-15,120,7.2,William Petersen,54000,Thomas Harris,1986
17000000.0,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844.0,9� Weeks,R,1986-02-21,117,5.9,Mickey Rourke,31798,Elizabeth McNeill,1986
10000000.0,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663.0,Maximum Overdrive,R,1986-07-25,98,5.4,Emilio Estevez,24881,Stephen King,1986
25000000.0,The Geffen Company,USA,Frank Oz,Comedy,38747385.0,Little Shop of Horrors,PG-13,1986-12-19,94,6.9,Rick Moranis,53327,Howard Ashman,1986
2700000.0,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000.0,The Wraith,PG-13,1986-11-21,93,5.9,Charlie Sheen,11635,Mike Marvin,1986
35000000.0,Universal Pictures,USA,Willard Huyck,Action,16295774.0,Howard the Duck,PG,1986-08-01,110,4.6,Lea Thompson,36020,Steve Gerber,1986
2000000.0,New Line Cinema,USA,Stephen Herek,Action,13167232.0,Critters,PG-13,1986-04-11,82,6.0,Dee Wallace,25517,Domonic Muir,1986
11000000.0,Orion Pictures,USA,Alan Metter,Comedy,91258000.0,Back to School,PG-13,1986-06-13,96,6.6,Rodney Dangerfield,23120,Rodney Dangerfield,1986
15000000.0,Jay Weston Productions,USA,Clint Eastwood,Action,42724017.0,Heartbreak Ridge,R,1986-12-05,130,6.8,Clint Eastwood,32954,James Carabatsos,1986
25000000.0,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132.0,Star Trek IV: The Voyage Home,PG,1986-11-26,119,7.3,William Shatner,66366,Gene Roddenberry,1986
0.0,TriStar Pictures,USA,John Badham,Comedy,40697761.0,Short Circuit,PG,1986-05-09,98,6.6,Ally Sheedy,47068,S.S. Wilson,1986
0.0,Neue Constantin Film,Italy,Jean-Jacques Annaud,Crime,7153487.0,The Name of the Rose,R,1986-09-24,130,7.8,Sean Connery,86991,Umberto Eco,1986
0.0,TriStar Pictures,USA,Sidney J. Furie,Action,24159872.0,Iron Eagle,PG-13,1986-01-17,117,5.3,Louis Gossett Jr.,11304,Kevin Alyn Elders,1986
25000000.0,Paramount Pictures,USA,Michael Ritchie,Action,79817937.0,The Golden Child,PG-13,1986-12-12,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986
1900000.0,Hemdale,USA,Tim Hunter,Crime,4600000.0,River's Edge,R,1987-05-08,99,7.1,Crispin Glover,12862,Neal Jimenez,1986
25000000.0,L.A. Films,USA,John Landis,Comedy,39246734.0,�Three Amigos!,PG,1986-12-12,104,6.4,Steve Martin,57406,Steve Martin,1986
25000000.0,Warner Bros.,USA,George P. Cosmatos,Action,49042224.0,Cobra,R,1986-05-23,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986
0.0,Gaumont,France,Jean-Jacques Beineix,Drama,2003822.0,Betty Blue,Not specified,1986-11-07,120,7.4,Jean-Hugues Anglade,14562,Philippe Djian,1986
24500000.0,Warner Bros.,UK,Roland Joff�,Adventure,17218023.0,The Mission,PG,1986-10-31,125,7.5,Robert De Niro,47497,Robert Bolt,1986
13800000.0,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982.0,The Color of Money,R,1986-10-17,119,7.0,Paul Newman,62495,Walter Tevis,1986
0.0,Columbia Pictures Corporation,USA,John G. Avildsen,Action,115103979.0,The Karate Kid Part II,PG,1986-06-20,113,5.9,Pat Morita,58370,Robert Mark Kamen,1986
0.0,Lorimar Productions,USA,Nick Castle,Drama,7177431.0,The Boy Who Could Fly,PG,1986-09-26,114,6.5,Lucy Deakins,4623,Nick Castle,1986
6000000.0,HBO Films,USA,Robert Harmon,Thriller,5844868.0,The Hitcher,R,1986-02-21,97,7.3,Rutger Hauer,36191,Eric Red,1986
10000000.0,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651.0,The Money Pit,PG,1986-03-26,91,6.3,Tom Hanks,41278,David Giler,1986
3000000.0,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057.0,Jason Lives: Friday the 13th Part VI,R,1986-08-01,86,5.9,Thom Mathews,28310,Tom McLoughlin,1986
25000000.0,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779.0,The Mosquito Coast,PG,1986-11-26,117,6.6,Harrison Ford,23076,Paul Theroux,1986
